tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
121N50401,W 5TH AVE NW,WESTBOUND,US-441/BROADWAY NW,TN,KNOX,37917,35.97247,-83.92316,35.97251,-83.92395,0.044255,3.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50402,W 5TH AVE NW,WESTBOUND,HALL OF FAME DR NE,TN,KNOX,37917,35.97576,-83.91677,35.976,-83.91823,0.084715,3.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50404,E MAGNOLIA AVE NE,WESTBOUND,N CENTRAL ST,TN,KNOX,37917,35.97305,-83.9194,35.9726,-83.92011,0.050417,35.5,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50405,US-11,WESTBOUND,HALL OF FAME DR NE,TN,KNOX,37917,35.97462,-83.91653,35.9745,-83.91707,0.031306,35.5,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50407,TN-431,SOUTHBOUND,TN-431/UNIVERSITY ST,TN,WEAKLEY,38237,36.35348,-88.88638,36.35358,-88.88577,0.035131,3.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50409,TN-431,SOUTHBOUND,TN-431/TN-22,TN,OBION,38261,36.40559,-89.00407,36.40442,-89.00238,0.125699,3.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15543,SHELTON RD,WESTBOUND,PETERSON LAKE RD,TN,SHELBY,38017,35.07423,-89.65408,35.07424,-89.66772,0.773518,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15542,SHELTON RD,WESTBOUND,WOLF RIVER BLVD,TN,SHELBY,38017,35.07424,-89.66772,35.07483,-89.67819,0.595481,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15548,FRANK RD,WESTBOUND,HOUSTON LEVEE RD,TN,SHELBY,38017,35.069,-89.68629,35.06983,-89.7298,2.460866,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15545,BYHALIA RD,SOUTHBOUND,FRANK RD/WINFORD DR,TN,SHELBY,38017,35.0819,-89.68195,35.06898,-89.68567,0.982223,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13477,US-64,WESTBOUND,OLD HWY 64/W GAINES ST,TN,LAWRENCE,38464,35.2592,-87.38018,35.25971,-87.38027,0.035595,5.75,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13481,BAILEY AVE,WESTBOUND,US-64/US-11/DODDS AVE,TN,HAMILTON,37404,35.02944,-85.26521,35.02965,-85.26579,0.035873,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+12833,TN-385,NORTHBOUND,US-64,TN,SHELBY,38028,35.15844,-89.63795,35.20566,-89.65339,3.472807,21.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+12832,US-64,EASTBOUND,TN-385,TN,SHELBY,38028,35.21064,-89.68119,35.21,-89.65568,1.452783,329.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13483,GEORGIA AVE,SOUTHBOUND,MCCALLIE AVE/E 7TH ST,TN,HAMILTON,37402,35.04869,-85.30661,35.04841,-85.30677,0.021359,2.5,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121P05497,US-421,NORTHBOUND,RANDALL ST,TN,SULLIVAN,37620,36.59403,-82.177,36.5948,-82.17738,0.057216,9.0005,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121P05493,US-411,NORTHBOUND,US-25W/US-70/TN-35/TN-9,TN,COCKE,37821,35.97055,-83.27183,35.971,-83.27146,0.03734,42.5,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13485,MOODY AVE SE,WESTBOUND,US-441,TN,KNOX,37920,35.93821,-83.90768,35.93797,-83.90816,0.031559,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13484,GEORGIA AVE,SOUTHBOUND,E 4TH ST,TN,HAMILTON,37403,35.05267,-85.30436,35.05221,-85.30461,0.034784,2.5,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13486,MOODY AVE SE,WESTBOUND,WOODLAWN PIKE SE,TN,KNOX,37920,35.94334,-83.89904,35.94319,-83.89933,0.019246,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13489,SEVIERVILLE PIKE,WESTBOUND,COTTRELL ST SE,TN,KNOX,37920,35.94511,-83.89526,35.94439,-83.89673,0.096095,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13488,SEVIERVILLE PIKE,WESTBOUND,WOODLAWN PIKE SE,TN,KNOX,37920,35.94348,-83.89873,35.94334,-83.89904,0.019852,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13492,JEFFERSON ST,WESTBOUND,I-40,TN,DAVIDSON,37208,36.16855,-86.81417,36.16815,-86.8168,0.149742,8.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13491,JEFFERSON ST,WESTBOUND,28TH AVE N/ED TEMPLE BLVD,TN,DAVIDSON,37208,36.16774,-86.8202,36.16787,-86.82079,0.034154,10.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15509,DEXTER RD,WESTBOUND,APPLING RD,TN,SHELBY,38016,35.1733,-89.79351,35.17206,-89.81464,1.240859,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15518,TN-193,WESTBOUND,DEXTER LN,TN,SHELBY,38018,35.15695,-89.77131,35.15594,-89.78029,0.518205,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15519,TN-193,WESTBOUND,SANGA RD,TN,SHELBY,38016,35.1638,-89.75697,35.15695,-89.77131,1.104178,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13498,JEFFERSON ST,WESTBOUND,COWAN ST,TN,DAVIDSON,37207,36.1769,-86.77616,36.17682,-86.77673,0.032261,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15517,TN-193,WESTBOUND,TN-177/N GERMANTOWN PKWY,TN,SHELBY,38018,35.15594,-89.78029,35.15399,-89.7947,0.95423,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13497,JEFFERSON ST,WESTBOUND,3RD AVE N,TN,DAVIDSON,37201,36.17514,-86.78424,36.17503,-86.78469,0.026218,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15515,HOUSTON LEVEE RD,SOUTHBOUND,TN-193/MACON RD,TN,SHELBY,38016,35.20526,-89.73269,35.1601,-89.72751,3.483323,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15512,APPLING RD,SOUTHBOUND,DEXTER RD,TN,SHELBY,38016,35.18395,-89.81287,35.17253,-89.81471,0.804024,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15513,APPLING RD,SOUTHBOUND,I-40,TN,SHELBY,38133,35.20394,-89.81473,35.18715,-89.81377,1.167804,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12171,TN-57,SOUTHBOUND,MISSISSIPPI/TENNESSEE,TN,HARDIN,38326,34.99584,-88.25165,34.99545,-88.25167,0.026965,2.5,America/Chicago,P3.14,USA,2021-03-30 14:00:00-04:00,null
121N12174,TN-128,SOUTHBOUND,TN-57,TN,HARDIN,38326,35.05353,-88.24383,35.0523,-88.24487,0.104201,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12173,TN-57,SOUTHBOUND,TN-128/PICKWICK RD,TN,HARDIN,38326,35.05321,-88.245,35.05245,-88.24372,0.08942,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15508,DEXTER RD,WESTBOUND,RALEIGH LAGRANGE RD,TN,SHELBY,38016,35.1721,-89.8148,35.16677,-89.83171,1.08087,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12178,TN-18,SOUTHBOUND,HARDEMAN/MADISON,TN,MADISON,38356,35.42887,-88.87702,35.42845,-88.8772,0.030732,1.0005,America/Chicago,P3.14,USA,2021-03-30 14:00:00-04:00,null
121N12177,TN-128,SOUTHBOUND,TN-69/MAIN ST,TN,HARDIN,38372,35.22458,-88.24647,35.22421,-88.24654,0.025863,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15503,N WATKINS ST,SOUTHBOUND,FRAYSER BLVD,TN,SHELBY,38127,35.23006,-90.0038,35.21756,-90.00344,0.87207,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15504,N WATKINS ST,SOUTHBOUND,ST ELMO AVE,TN,SHELBY,38127,35.23596,-90.01361,35.23006,-90.0038,0.690247,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15501,RANGE LINE RD,SOUTHBOUND,JAMES RD,TN,SHELBY,38127,35.22054,-89.97552,35.19966,-89.9758,1.442952,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12181,TN-152,SOUTHBOUND,US-412/TN-20,TN,MADISON,38305,35.70756,-88.63488,35.70697,-88.63482,0.041042,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12180,TN-18,SOUTHBOUND,US-45/TN-5/S HIGHLAND AVE,TN,MADISON,38301,35.5547,-88.8104,35.55467,-88.81186,0.082729,1.001,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12183,US-70A-BYP,SOUTHBOUND,US-79/US-70 ALT/W MAIN ST,TN,GIBSON,38343,35.81684,-88.93354,35.814349988849,-88.933000005799,0.437483,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12182,TN-152,SOUTHBOUND,I-40,TN,MADISON,38305,35.71877,-88.63413,35.71749,-88.63407,0.088548,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12185,US-70A-BYP,SOUTHBOUND,US-45W/US-45W BUS/N CENTRAL AVE,TN,GIBSON,38343,35.83722,-88.9151,35.83723,-88.91568,0.032488,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12184,US-70A-BYP,SOUTHBOUND,TN-152/MACLIN ST,TN,GIBSON,38343,35.82632,-88.93574,35.82558,-88.93575,0.051125,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15533,FARMINGTON BLVD,SOUTHBOUND,KIMBROUGH RD,TN,SHELBY,38139,35.09984,-89.76588,35.09552,-89.7908,1.508803,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15530,POPLAR PIKE,WESTBOUND,HACKS CROSS RD,TN,SHELBY,38138,35.06299,-89.75953,35.07431,-89.79379,2.137955,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15531,POPLAR PIKE,WESTBOUND,FOREST HILL IRENE RD,TN,SHELBY,38138,35.06079,-89.74595,35.06299,-89.75953,0.789727,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12187,TN-5,SOUTHBOUND,STATE LINE RD E,TN,OBION,38261,36.50376,-89.12,36.50316,-89.12001,0.041452,1.001,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12186,TN-5,SOUTHBOUND,TN-22/LAKE DR,TN,OBION,38261,36.4339,-89.08645,36.43348,-89.08611,0.034625,1.001,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15538,WOLF RIVER BLVD,WESTBOUND,HOUSTON LEVEE RD,TN,SHELBY,38017,35.08199,-89.68134,35.09539,-89.72882,3.183321,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12189,TN-239,WESTBOUND,TN-89/W MAIN ST,TN,WEAKLEY,38225,36.28897,-88.72446,36.28907,-88.72513,0.037941,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15539,WOLF RIVER BLVD,WESTBOUND,N BYHALIA RD,TN,SHELBY,38017,35.07509,-89.67881,35.08199,-89.68134,0.519936,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12188,TN-239,WESTBOUND,TN-22,TN,WEAKLEY,38225,36.29054,-88.73643,36.29025,-88.73685,0.030793,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15536,WOLF RIVER BLVD,WESTBOUND,FOREST HILL IRENE RD,TN,SHELBY,38139,35.09553,-89.75,35.09693,-89.75758,0.444331,6.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15537,WOLF RIVER BLVD,WESTBOUND,JOHNSON RD,TN,SHELBY,38139,35.09534,-89.73009,35.09553,-89.75,1.126223,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15535,WOLF RIVER BLVD,WESTBOUND,FARMINGTON BLVD,TN,SHELBY,38139,35.09693,-89.75758,35.09982,-89.76553,0.529128,7.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12190,TN-54,WESTBOUND,US-45E/N MERIDIAN ST,TN,WEAKLEY,38230,36.15422,-88.80056,36.15421,-88.80085,0.01619,12.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12192,TN-54,WESTBOUND,TN-22,TN,WEAKLEY,38225,36.27917,-88.71427,36.27695,-88.71399,0.154148,11.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12191,TN-54,WESTBOUND,LIBERTY RD,TN,WEAKLEY,38225,36.24052,-88.70949,36.2402,-88.70949,0.022106,12.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12193,TN-54,WESTBOUND,TN-89/PIKEVIEW ST,TN,WEAKLEY,38225,36.28776,-88.71394,36.28716,-88.71456,0.054101,9.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12195,TN-54,WESTBOUND,TN-89/TAYLOR ST,TN,WEAKLEY,38225,36.29141,-88.70044,36.29146,-88.70166,0.068027,6.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15521,TN-193,WESTBOUND,HOUSTON LEVEE RD,TN,SHELBY,38028,35.1592,-89.66358,35.1601,-89.72751,3.69145,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15520,TN-193,WESTBOUND,BERRYHILL RD,TN,SHELBY,38016,35.1601,-89.72751,35.1638,-89.75697,1.711718,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15529,POPLAR PIKE,WESTBOUND,TN-177/S GERMANTOWN RD,TN,SHELBY,38138,35.07452,-89.79438,35.08445,-89.80988,1.118296,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+12867,TN-57,EASTBOUND,TN-385,TN,SHELBY,38017,35.04522,-89.65566,35.04479,-89.64,0.88618,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15525,HACKS CROSS RD,SOUTHBOUND,TN-385/BILL MORRIS PKWY,TN,SHELBY,38125,35.04834,-89.79552,35.03851,-89.79586,0.681281,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15526,HACKS CROSS RD,SOUTHBOUND,WINCHESTER RD,TN,SHELBY,38125,35.07419,-89.7944,35.04834,-89.79552,1.822368,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15523,HACKS CROSS RD,SOUTHBOUND,E HOLMES RD,TN,SHELBY,38125,35.02048,-89.796,35.00617,-89.79551,0.989614,6.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113-15524,HACKS CROSS RD,SOUTHBOUND,TN-175/E SHELBY DR,TN,SHELBY,38125,35.03618,-89.79586,35.02048,-89.796,1.086389,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05890,US-70S,WESTBOUND,TN-100,TN,DAVIDSON,37205,36.10221,-86.87027,36.09961,-86.87152,0.192983,94.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+04562,TN-840,EASTBOUND,TN-265/CENTRAL PIKE/EXIT 72,TN,WILSON,37090,36.11577,-86.40798,36.12803,-86.40163,0.95106,28.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05893,US-70S,WESTBOUND,CHEROKEE RD,TN,DAVIDSON,37205,36.13468,-86.82501,36.1303,-86.83779,0.774853,86.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+04563,TN-840,EASTBOUND,I-40/EXIT 76,TN,WILSON,37090,36.1327,-86.39328,36.17779,-86.35154,4.071012,30.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+04560,TN-840,EASTBOUND,COUCHVILLE PIKE/EXIT 67,TN,WILSON,37122,36.05025,-86.4305,36.064039972264,-86.430920005136,0.958647,24.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05892,US-70S,WESTBOUND,WHITE BRIDGE PIKE/WOODMONT BLVD,TN,DAVIDSON,37205,36.1303,-86.83779,36.12532,-86.84712,0.628726,87.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+04561,TN-840,EASTBOUND,STEWARTS FERRY PIKE/EXIT 70,TN,WILSON,37090,36.07378,-86.4294,36.10746,-86.41006,2.689555,26.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05891,US-70S,WESTBOUND,BELLE MEADE BLVD,TN,DAVIDSON,37205,36.12226,-86.85141,36.11968,-86.85481,0.260315,90.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08618,US-70S,EASTBOUND,I-440,TN,DAVIDSON,37205,36.13468,-86.82501,36.13536,-86.82346,0.098619,24.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08619,US-70S,EASTBOUND,US-431/BROADWAY/16TH AVE,TN,DAVIDSON,37203,36.15138,-86.79932,36.15427,-86.79289,0.411642,31.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08616,US-45W,SOUTHBOUND,E REELFOOT AVE/MILES AVE,TN,OBION,38261,36.42564,-89.03992,36.41324,-89.0413,0.860341,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08617,US-45W,SOUTHBOUND,OLD TN-3/KEN TENN HWY,TN,OBION,38261,36.44096,-89.01221,36.43954,-89.01203,0.098602,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08614,US-45W,SOUTHBOUND,TN-89/CHURCH ST/COLLEGE ST,TN,OBION,38233,36.24974,-89.04293,36.20229,-89.01201,3.704242,10.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08615,US-45W,SOUTHBOUND,TN-21/TROY-RIVES RD,TN,OBION,38261,36.35855,-89.06674,36.34297,-89.0692,1.084935,8.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08612,US-45W,SOUTHBOUND,TN-152/MITCHELL ST,TN,GIBSON,38343,35.83517,-88.89604,35.820020029282,-88.890559989531,1.525832,28.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08613,US-45W,SOUTHBOUND,TN-77/TN-104/E EATON ST,TN,GIBSON,38382,35.98464,-88.93034,35.98041,-88.93022,0.292287,17.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08610,TN-99,WESTBOUND,TN-243/TROTWOOD AVE,TN,MAURY,38401,35.61509,-87.03592,35.61594,-87.04575,0.555405,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08609,TN-99,WESTBOUND,TN-50/W JAMES CAMPBELL BLVD,TN,MAURY,38401,35.61594,-87.04575,35.61753,-87.06481,1.081982,8.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08607,TN-99,WESTBOUND,CAYCE LN,TN,MAURY,38401,35.61967,-87.08444,35.61881,-87.0953,0.616068,12.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08608,TN-99,WESTBOUND,TN-50/WILLIAMSPORT PIKE,TN,MAURY,38401,35.61749,-87.06501,35.61973,-87.08306,1.041473,10.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08606,TN-99,WESTBOUND,US-412/US-43/TN-6,TN,MAURY,38401,35.61881,-87.0953,35.61753,-87.11796,1.276968,22.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08603,TN-20,WESTBOUND,DR F E WRIGHT DR,TN,MADISON,38301,35.64396,-88.77691,35.64847,-88.78753,0.700581,36.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08604,TN-20,WESTBOUND,US-70 BUS/TN-1/WHITEHALL ST,TN,MADISON,38305,35.67606,-88.74709,35.64399,-88.77632,2.760035,34.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08601,TN-20,WESTBOUND,CAMPBELL ST,TN,MADISON,38305,35.64865,-88.80209,35.64889,-88.82156,1.116617,38.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08602,TN-20,WESTBOUND,N ROYAL ST,TN,MADISON,38301,35.64847,-88.78753,35.648649999499,-88.802089984739,0.819194,37.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-08600,US-412,EASTBOUND,TN-152,TN,CROCKETT,38001,35.88143,-89.22636,35.8378,-89.18706,3.742285,236.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12107,TN-33,SOUTHBOUND,US-25E/TN-32,TN,CLAIBORNE,37879,36.45632,-83.5675,36.45603,-83.56759,0.020648,1.001,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N12103,TN-76,EASTBOUND,I-24,TN,MONTGOMERY,37043,36.52487,-87.22395,36.52587,-87.21879,0.294854,8.001,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113N07471,TN-177,SOUTHBOUND,US-64,TN,SHELBY,38133,35.20491,-89.79197,35.20458,-89.79202,0.02297,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113P50797,CHELSEA AVE,EASTBOUND,TN-14/JACKSON AVE,TN,SHELBY,38108,35.17556,-89.93991,35.17733,-89.93798,0.174091,10.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113P50799,N 2ND ST,NORTHBOUND,TN-14/TN-3/AUCTION AVE/AW WILLIS AVE,TN,SHELBY,38105,35.15679,-90.04677,35.15711,-90.04666,0.022962,8.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113P50792,CHELSEA AVE,EASTBOUND,I-40,TN,SHELBY,38107,35.17012,-90.01946,35.17092,-90.01741,0.128479,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05832,US-51,NORTHBOUND,LOCUST GROVE RD,TN,DYER,38059,36.13941,-89.26326,36.171619981934,-89.230230012904,2.906372,157.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05831,US-51,NORTHBOUND,SHARPS FERRY RD,TN,DYER,38059,36.12721,-89.27541,36.139409978439,-89.263260020123,1.081575,156.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113P50789,CHELSEA AVE,EASTBOUND,N 2ND ST,TN,SHELBY,38107,35.16375,-90.04399,35.16359,-90.04338,0.036179,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05830,US-51,NORTHBOUND,BIFFLE RD,TN,DYER,38059,36.12553,-89.27706,36.12721,-89.27541,0.148138,155.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05836,US-51,NORTHBOUND,TN-21/E HARPER ST,TN,OBION,38260,36.3272,-89.17363,36.33812,-89.1569,1.204468,164.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05835,US-51,NORTHBOUND,TN-211/TN-3/DAVIS HWY,TN,OBION,38240,36.26586,-89.21501,36.327,-89.17397,4.877979,162.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05834,US-51,NORTHBOUND,TN-183/ELBRIDGE OBION RD,TN,OBION,38240,36.21084,-89.21103,36.258499950215,-89.216980013529,3.381134,160.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05833,US-51,NORTHBOUND,TN-105/CO LINE RD,TN,DYER,38259,36.17162,-89.23023,36.20157,-89.21225,2.330308,158.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05839,US-51,NORTHBOUND,TN-5/TN-22/W MAIN ST,TN,OBION,38261,36.41628,-89.06892,36.42635,-89.06729,0.701589,168.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05838,US-51,NORTHBOUND,W REELFOOT AVE,TN,OBION,38261,36.34362,-89.15317,36.41551,-89.0692,6.892322,166.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05837,US-51,NORTHBOUND,TN-21/TROY-RIVES RD,TN,OBION,38260,36.33812,-89.1569,36.34362,-89.15317,0.433184,165.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-07210,US-641,SOUTHBOUND,TN-218 BYP,TN,HENRY,38242,36.28318,-88.29591,36.27291,-88.2868,0.872378,48.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09873,MANUFACTURERS RD,WESTBOUND,US-27,TN,HAMILTON,37405,35.0635,-85.31031,35.06193,-85.31608,0.350527,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-07212,US-641,SOUTHBOUND,TN-77/GORDON BROWNING HWY,TN,HENRY,38242,36.29166,-88.3162,36.28332,-88.30722,0.7659,45.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-07211,US-641,SOUTHBOUND,TN-69A/MEMORIAL DR,TN,HENRY,38242,36.28332,-88.30722,36.28342,-88.29657,0.596189,46.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09872,MANUFACTURERS RD,WESTBOUND,RIVERSIDE AVE,TN,HAMILTON,37405,35.06135,-85.31865,35.05978,-85.32745,0.582512,3.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09870,MANNING ST,WESTBOUND,CHEROKEE BLVD,TN,HAMILTON,37405,35.06551,-85.30935,35.06572,-85.31347,0.243524,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05843,US-51,NORTHBOUND,US-45W/TN-215/TN-3,TN,OBION,38261,36.47635,-88.95631,36.49753,-88.90103,3.433841,175.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05842,US-51,NORTHBOUND,ALBERT OWENS RD,TN,OBION,38261,36.44525,-89.00723,36.476349973561,-88.956310068742,3.654797,174.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05841,US-51,NORTHBOUND,US-45W/SECTION LINE RD,TN,OBION,38261,36.44599,-89.04405,36.4439,-89.01775,1.468661,172.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05840,US-51,NORTHBOUND,TN-21/N CLOVER ST,TN,OBION,38261,36.42765,-89.06727,36.44612,-89.04565,2.470481,170.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
